County,State,Population in 2010,Area (sq km),Total Utility PV Hydrogen Potential (kg/yr)
St. Landry,Louisiana,83384,2427,2191727942
St. Mary,Louisiana,54650,1789,518438423.9
Assumption,Louisiana,23421,954,461056325.9
Vermilion,Louisiana,57999,3379,2519491055
Tangipahoa,Louisiana,121097,2134,1477601465
Washington,Louisiana,47168,1756,1189239905
West Feliciana,Louisiana,15625,1111,497557817.9
St. Martin,Louisiana,52160,2119,745571460.1
Ascension,Louisiana,107215,786,387092129.3
East Baton Rouge,Louisiana,440171,1223,529329955.4
Lafourche,Louisiana,96318,3116,657356325.3
Livingston,Louisiana,128026,1822,1222988970
St. Charles,Louisiana,52780,1060,111687876.8
St. James,Louisiana,22102,661,321433908
Floyd,Iowa,16303,1303,1838372713
Plaquemines,Louisiana,23042,3034,112764486.7
St. Bernard,Louisiana,35897,1374,6181330.2
Allen,Louisiana,25764,1979,2235378012
Beauregard,Louisiana,35654,3023,3596570449
Calcasieu,Louisiana,192768,2831,2488779457
Cameron,Louisiana,6839,4312,519756106.6
Jefferson Davis,Louisiana,31594,1708,2139351513
Bossier,Louisiana,116979,2238,2193363224
Caddo,Louisiana,254969,2439,2015999162
Claiborne,Louisiana,17195,1986,1072261064
West Carroll,Louisiana,11604,933,1290536400
Caldwell,Louisiana,10132,1404,1085860090
Franklin,Louisiana,20767,1646,2050038617
Grant,Louisiana,22309,1717,1492700170
Winneshiek,Iowa,21056,1802,1153631874
Richland,Louisiana,20725,1459,1785389718
Winn,Louisiana,15313,2493,2256006743
Lincoln,Louisiana,46735,1225,396339578.3
Union,Louisiana,22721,2346,1351155906
East Carroll,Louisiana,7759,1154,1336652547
Marshall,Iowa,40648,1487,1539823531
Covington,Virginia,5961,14,8396223.78
Buchanan,Iowa,20958,1485,2059464798
Washington,Maine,32856,7111,2741639837
Somerset,Maine,52228,10609,2562489445
Hancock,Maine,54418,4367,1152467548
Kennebec,Maine,122151,2463,555777951.9
Knox,Maine,39736,985,124534815
Lincoln,Maine,34457,1219,171229541.6
Waldo,Maine,38786,1958,337188172.6
Fayette,Iowa,20880,1906,2040511956
Cumberland,Maine,281674,2402,529811872.2
Oxford,Maine,57833,5639,258967385.4
York,Maine,197131,2638,1097756285
Aroostook,Maine,71870,17687,5600165982
Black Hawk,Iowa,131090,1480,1865169435
Piscataquis,Maine,17535,11336,2509898786
Harford,Maryland,244826,1149,186041298.4
Anne Arundel,Maryland,537656,1084,200311039
Frederick,Maryland,233385,1725,380007647.8
Washington,Maryland,147430,1208,371783563.2
Allegany,Maryland,75087,1088,12083627.04
Calvert,Maryland,88737,559,96011117.76
Howard,Maryland,287085,651,54324185.32
Garrett,Maryland,30097,1723,88441370.94
Kent,Maryland,20197,704,778070019.4
Montgomery,Maryland,971777,1301,230353142.9
Bremer,Iowa,24276,1137,1557446196
Baltimore City,Maryland,620961,207,8916650.32
St. Mary's,Maryland,105151,922,647566553.5
Dorchester,Maryland,32618,1489,1184212220
Charles,Maryland,146551,1186,759751682.9
Baltimore,Maryland,805029,1567,102574473.7
Carroll,Maryland,167134,1169,189129225.3
Somerset,Maryland,26470,828,762178233.4
Worcester,Maryland,51454,1231,1420987760
Wicomico,Maryland,98733,976,1129375214
Cecil,Maryland,101108,928,368380234
Caroline,Maryland,33066,832,1166125440
Suffolk,Massachusetts,722023,162,390291.74
Gogebic,Michigan,16427,2952,1298685077
Ontonagon,Michigan,6780,3442,2385016900
Butler,Iowa,14867,1507,2029936919
Montgomery,Ohio,535153,1203,814287094.4
Burt,Nebraska,6858,1292,1053888394
Chickasaw,Iowa,12439,1313,1803793278
Logan,West Virginia,36743,1176,0
Howard,Iowa,9566,1232,1758589153
Grafton,New Hampshire,89118,4529,47256191.32
Mitchell,Iowa,10776,1230,1797426495
Gaston,North Carolina,206086,937,240533046.5
Allamakee,Iowa,14330,1703,335139490.5
Delaware,Iowa,17764,1500,1736474035
Sharkey,Mississippi,4916,1122,1160820526
Humphreys,Mississippi,9375,1120,1206484994
Carroll,Mississippi,10597,1650,978195730.8
Lowndes,Mississippi,59779,1347,1185504401
Lawrence,Tennessee,41869,1604,1031940854
McIntosh,Oklahoma,20252,1835,1619130077
Linn,Iowa,211226,1869,1827012984
Dubuque,Iowa,93653,1599,600388179.5
Lucas,Iowa,8898,1125,681089975.4
Beaver,Oklahoma,5636,4679,6537475310
Monroe,Iowa,7970,1117,529962297.9
Tioga,Pennsylvania,41981,2948,89902173
Taylor,Iowa,6317,1389,921348368.7
Crawford,Pennsylvania,88765,2672,1458327728
Adams,Iowa,4029,1099,653095198.2
Davidson,Tennessee,626681,1372,155058574.9
Clarke,Iowa,9286,1108,677781902.1
Ray,Missouri,23494,1483,1135319057
Saline,Missouri,23370,1977,1977594812
Miller,Missouri,24748,1561,211415426.4
Duchesne,Utah,18607,8428,1946573812
Tipton,Tennessee,61081,1221,1314719444
Decatur,Iowa,8457,1385,729590169.4
Richland,Montana,9746,5445,1941259030
Glacier,Montana,13399,7910,3753890213
Flathead,Montana,90928,13578,1083693665
Lincoln,Montana,19687,9541,230103147.4
Beaverhead,Montana,9246,14415,3395480359
Deer Lodge,Montana,9298,1921,328329490.6
Granite,Montana,3079,4505,214907110.9
Lake,Montana,28746,4310,1149330003
Mineral,Montana,4223,3155,27459871.04
Missoula,Montana,109299,6765,421081883.1
Powell,Montana,7027,6055,735327149.6
Ravalli,Montana,40212,6222,460146840.4
Ringgold,Iowa,5131,1396,843838895.3
Jefferson,Montana,11406,4311,469478487
Judith Basin,Montana,2072,4867,2114062920
Lewis and Clark,Montana,63395,9022,1001760660
Meagher,Montana,1891,6212,871008579.1
Wheatland,Montana,2168,3705,2367593349
Park,Montana,15636,7295,590391244.3
Sweet Grass,Montana,3651,4835,711585164.6
Carbon,Montana,10078,5334,900753150.6
Fergus,Montana,11586,11255,4601397587
Garfield,Montana,1206,12554,5279076855
Musselshell,Montana,4538,4855,2302508083
Petroleum,Montana,494,4331,2309304322
Stillwater,Montana,9117,4672,1678218955
Appanoose,Iowa,12887,1335,1029171808
Cherokee,Texas,50845,2745,1267571068
Wayne,Iowa,6403,1365,1217683537
Hunt,Texas,86129,2277,3285980480
Van Buren,Iowa,7570,1265,1164833667
Page,Virginia,24042,808,91378775.98
Davis,Iowa,8753,1307,1108859062
Albany,Wyoming,36299,11171,7629405375
King,Washington,1931249,5680,306563990
Wapello,Iowa,35625,1128,903870065.5
Crawford,Wisconsin,16644,1539,19845396.96
Henry,Iowa,20145,1130,1200331465
Marinette,Wisconsin,41749,3677,2820123326
Jefferson,Iowa,16843,1133,1178583085
Palo Alto,Iowa,9421,1482,2119181702
Pocahontas,Iowa,7310,1495,2296945689
Buena Vista,Iowa,20260,1496,2210377601
Clay,Iowa,16667,1483,2084343952
Jasper,Iowa,36842,1899,1417188189
Marion,Iowa,33309,1487,793710983.8
Carroll,Iowa,20816,1480,1450166861
Humboldt,Iowa,9815,1136,1667487977
McPherson,Nebraska,539,2226,1899175896
Kossuth,Iowa,15543,2551,3822071451
Greene,Iowa,9336,1480,2152814330
Winnebago,Iowa,10866,1054,1561154342
Wright,Iowa,13229,1506,2300343849
Hooker,Nebraska,736,1871,807273350.7
Cerro Gordo,Iowa,44151,1498,2082241081
Adair,Iowa,7682,1480,825415188
Hillsborough,New Hampshire,400721,2307,137825471.3
Sullivan,New Hampshire,43742,1425,5965185.16
Merrimack,New Hampshire,146445,2478,124323457.9
Carroll,New Hampshire,47818,2576,243520819.7
Coos,New Hampshire,33055,4749,95454107.34
Belknap,New Hampshire,60088,1212,20963044.74
Strafford,New Hampshire,123143,984,193707554.9
Atlantic,New Jersey,274549,1500,1316592846
Warren,New Jersey,108692,937,111834694.4
Hudson,New Jersey,634266,132,979436.3
Worth,Iowa,7598,1050,1562431679
Morris,New Jersey,492276,1240,30927925.68
Passaic,New Jersey,501226,507,1269902.26
Camden,New Jersey,513657,585,243898873.1
Sussex,New Jersey,149265,1390,41723570.46
Gloucester,New Jersey,288288,874,723866026.4
Salem,New Jersey,66083,918,972941935.2
Monmouth,New Jersey,630380,1237,519991868.7
Essex,New Jersey,783969,336,797486.02
Union,New Jersey,536499,274,2466811.38
Middlesex,New Jersey,809858,809,265526857.1
Bergen,New Jersey,905116,648,4464478.94
Burlington,New Jersey,448734,2133,1892560094
Cumberland,New Jersey,156898,1340,1238114582
Ocean,New Jersey,576567,1705,1067778643
Guthrie,Iowa,10954,1537,838482192.3
Chaves,New Mexico,65645,15774,23730391331
Dona Ana,New Mexico,209233,9898,13146774838
De Baca,New Mexico,2022,6057,10919531173
San Miguel,New Mexico,29393,12247,9221088334
Roosevelt,New Mexico,19846,6321,13480433916
Union,New Mexico,4549,9919,13307801293
Eddy,New Mexico,53829,10889,16694659182
Otero,New Mexico,63797,17148,17393785480
McKinley,New Mexico,71492,14196,10368281750
Franklin,Iowa,10680,1507,2208250922
Ulster,New York,182493,3016,115060295.6
Monroe,New York,744344,1734,1096152527
Westchester,New York,949113,1227,2289172.26
Orleans,New York,42883,1021,1211104361
Bronx,New York,1385108,105,291343.62
Kings,New York,2504700,172,299456.32
Chautauqua,New York,134905,2810,970276223.9
Steuben,New York,98990,3636,209726603.7
Montgomery,New York,50219,1065,214827878.9
Cayuga,New York,80026,1894,791470186.1
Onondaga,New York,467026,2096,520167968.9
Oswego,New York,122109,2616,1569424632
Schuyler,New York,18343,881,105679281.3
Crawford,Iowa,17096,1850,483289747
Madison,New York,73442,1724,397359696.5
Oneida,New York,234878,3258,1542970813
Clinton,New York,82128,2901,1160959860
Otsego,New York,62259,2609,76890541.58
Essex,New York,39370,4959,58975426.8
Franklin,New York,51599,4378,1353073453
Albany,New York,304204,1380,67355071.36
Fulton,New York,55531,1388,76633586.1
Greene,New York,49221,1705,41990437.04
Dallas,Iowa,66135,1532,1752669358
Cattaraugus,New York,80317,3433,496465789.2
Schenectady,New York,154727,545,19715800.82
Allegany,New York,48946,2669,210400551.1
Boone,Iowa,26306,1484,1938463486
Warren,New York,65707,2399,1908813.5
Washington,New York,63216,2222,281374866.7
Columbia,New York,63096,1669,314989551.4
Rensselaer,New York,159429,1718,111630881.8
Richmond,New York,468730,145,4937594.16
Delaware,New York,47980,3780,24941965.32
Hamilton,New York,4836,4665,115757753.6
Orange,New York,372813,2179,201221434.5
Putnam,New York,99710,641,2628927.74
Nassau,New York,1339532,715,1720575.28
Niagara,New York,216469,1364,1467856071
Erie,New York,919040,2717,1420939826
Queens,New York,2230722,282,1538987.52
Madison,Iowa,15679,1455,975540387.2
Tompkins,New York,101564,1271,268869123.3
Suffolk,New York,1493350,2435,566324714
Sullivan,New York,77547,2578,47821978.04
Wayne,New York,93772,1586,851897416.9
Yancey,North Carolina,17818,807,0
Haywood,North Carolina,59036,1433,5183005.56
Jackson,North Carolina,40271,1281,152716.34
Richmond,North Carolina,46639,1231,729859457.6
Pamlico,North Carolina,13144,884,685891149
Granville,North Carolina,59916,1392,1377677495
Calhoun,Iowa,9670,1480,2234275285
Randolph,North Carolina,141752,2047,1152295292
Watauga,North Carolina,51079,813,729298.44
Mitchell,North Carolina,15579,568,0
Catawba,North Carolina,154358,1063,220767622.7
Cabarrus,North Carolina,178011,951,606577738
Davie,North Carolina,41240,682,486912694.7
Rowan,North Carolina,138428,1340,1118574195
Stanly,North Carolina,60585,1054,661227480.7
Robeson,North Carolina,134168,2453,2687710688
Edgecombe,North Carolina,56552,1315,1728019664
Dare,North Carolina,33920,1047,36731781.06
Brunswick,North Carolina,107431,2196,2116401198
Columbus,North Carolina,58098,2471,2672588912
Greene,North Carolina,21362,688,947148261.7
Ida,Iowa,7089,1121,723665347.2
Sac,Iowa,10350,1494,1969660834
Hamilton,Iowa,15673,1496,2175070716
Hardin,Iowa,17534,1477,1918225349
Webster,Iowa,38013,1861,2631816050
Grundy,Iowa,12453,1295,1895086597
Benton,Iowa,26076,1864,2277845480
Atoka,Oklahoma,14182,2560,2080429950
Bryan,Oklahoma,42416,2464,3107185215
Wagoner,Oklahoma,73085,1546,1807778391
Sequoyah,Oklahoma,42391,1856,974016791.5
Jackson,Oklahoma,26446,2102,3513377791
Keokuk,Iowa,10511,1505,1335449247
Iowa,Iowa,16355,1524,1123359965
Mahaska,Iowa,22381,1489,1332148648
Poweshiek,Iowa,18914,1520,1307352252
Tama,Iowa,17767,1874,1705384529
Cedar,Iowa,18499,1508,1769609084
Washington,Rhode Island,126979,913,129286876.1
Calhoun,South Carolina,15175,1017,842750581
Clarendon,South Carolina,34971,1807,1715145787
Dorchester,South Carolina,136555,1483,1431395100
Jones,Iowa,20638,1488,1154390853
Kershaw,South Carolina,61697,1914,1160079021
Aiken,South Carolina,160099,2803,1963105107
Sumter,South Carolina,107456,1763,1531850515
Chesterfield,South Carolina,46734,2082,1183065395
Chester,South Carolina,33140,1517,701052404.6
Saluda,South Carolina,19875,1200,1352259436
Greenville,South Carolina,451225,2051,489065261.1
Berkeley,South Carolina,177843,3175,2594714959
Louisa,Iowa,11387,1075,1161911790
Woodbury,Iowa,102172,2276,1125376181
Lyon,Iowa,11581,1525,1849757851
O'Brien,Iowa,14398,1489,2139598548
Georgetown,South Carolina,60158,2156,1831133021
Beaufort,South Carolina,162233,1591,707164901.6
Jasper,South Carolina,24777,1718,1463445041
Allendale,South Carolina,10419,1072,1163132356
Bamberg,South Carolina,15987,1021,1186778600
Barnwell,South Carolina,22621,1448,1595951993
Orangeburg,South Carolina,92501,2908,3226688347
Dillon,South Carolina,32062,1061,1103642687
Florence,South Carolina,136885,2088,2056787149
Fairfield,South Carolina,23956,1841,475664095.4
Darlington,South Carolina,68681,1469,1449047208
Horry,South Carolina,269291,2968,2274774945
Marion,South Carolina,33062,1277,1002421147
Rooks,Kansas,5181,2314,2692661708
Barton,Kansas,27674,2326,3849323346
Lexington,South Carolina,262391,1957,1145848761
Anderson,South Carolina,187126,1969,964535909.9
Laurens,South Carolina,66537,1875,822093637.2
Edgefield,South Carolina,26985,1310,848129117.6
Union,South Carolina,28961,1339,190123292.5
Cherokee,South Carolina,55342,1029,261166969.2
McCormick,South Carolina,10233,1015,660727229.3
Abbeville,South Carolina,25417,1329,679327562
Spartanburg,South Carolina,284307,2115,556445113.3
Stafford,Kansas,4437,2052,3673675990
Ness,Kansas,3107,2788,4575371882
Graham,Kansas,2597,2330,2499322993
Osborne,Kansas,3858,2324,2585397237
Pawnee,Kansas,6973,1946,3542819674
Russell,Kansas,6970,2329,2257479663
Houston,Texas,23732,3205,3323144844
Barber,Kansas,4861,2933,3008525669
Jasper,Texas,35710,2487,1755711106
Jefferson,Texas,252273,2573,1901089225
Clark,Kansas,2215,2556,3332765519
Kiowa,Kansas,2553,1870,2824761738
Pratt,Kansas,9656,1902,3444114514
Harper,Kansas,6034,2077,3713869606
Kingman,Kansas,7858,2252,3788545775
Ellsworth,Kansas,6497,1878,2096357011
Lincoln,Kansas,3241,1865,1989520997
Ottawa,Kansas,6091,1864,2451676917
Rice,Kansas,10083,1889,3415614001
Saline,Kansas,55606,1865,2512766085
Harvey,Kansas,34684,1397,2495717464
McPherson,Kansas,29180,2338,3749322231
Chase,Kansas,2790,2023,1604885119
Greenwood,Kansas,6689,2986,2894867389
Lyon,Kansas,33690,2212,3097940751
Morris,Kansas,5923,1822,2344266520
Coffey,Kansas,8601,1709,2747916673
Woodson,Kansas,3309,1311,1806145817
Chautauqua,Kansas,3669,1672,1223602721
Elk,Kansas,2882,1685,1669720109
Montgomery,Kansas,35471,1678,2073055090
Phillips,Kansas,5642,2314,1793914245
Smith,Kansas,3853,2322,2477128181
Cloud,Kansas,9533,1855,2316262842
Republic,Kansas,4980,1864,2560269827
Washington,Kansas,5799,2328,2447448652
Jewell,Kansas,3077,2386,2811201897
Mitchell,Kansas,6373,1865,2496693207
Marshall,Kansas,10117,2353,2129213788
Jackson,Kansas,13462,1700,1493503874
Brown,Kansas,9984,1480,1576384558
Gove,Kansas,2695,2764,4015946900
Allen,Kansas,13371,1312,2077576960
Neosho,Kansas,16512,1501,2241505933
Anderson,Kansas,8102,1508,2470509251
Wichita,Kansas,2234,1864,3411678899
Meade,Kansas,4575,2558,3805225086
Lane,Kansas,1750,1864,2966614736
Morton,Kansas,3233,1890,3508720879
Greeley,Kansas,1247,2008,3896046016
Gray,Kansas,6006,2238,4125528265
Scott,Kansas,4936,1875,3407432640
Lipscomb,Texas,3302,2398,3001457958
Rawlins,Kansas,2519,2776,2788828646
Stevens,Kansas,5724,1889,3499722326
Cheyenne,Kansas,2726,2639,3075596525
Sherman,Kansas,6010,2730,4626679019
Wallace,Kansas,1485,2365,3511944817
Grant,Kansas,7829,1490,2642824913
Hansford,Texas,5613,2396,3451003588
Kearny,Kansas,3977,2244,4091992965
Stanton,Kansas,2235,1770,3348204731
Seward,Kansas,22952,1663,2830516522
Finney,Kansas,36776,3364,5962064543
Hodgeman,Kansas,1916,2223,3492714604
Logan,Kansas,2756,2783,3877204683
Sheridan,Kansas,2556,2319,3100966633
Thomas,Kansas,7900,2787,4897993379
Trego,Kansas,3001,2336,3039355452
Comanche,Kansas,1891,2043,2779594355
Edwards,Kansas,3037,1602,2940580282
Decatur,Kansas,2961,2320,2386420662
Hamilton,Kansas,2690,2592,4619275601
Norton,Kansas,5671,2292,1575542100
Ford,Kansas,33848,2851,4888289252
Rush,Kansas,3307,1858,3175181712
Wilson,Kansas,9409,1485,1958259156
Nemaha,Kansas,10178,1868,1566878343
Cherokee,Kansas,21603,1527,2439926760
Bourbon,Kansas,15173,1653,2143783613
Crawford,Kansas,39134,1536,2523460107
Labette,Kansas,21607,1702,2743218381
Franklin,Kansas,25992,1496,1984612231
Linn,Kansas,9656,1567,1766535265
Miami,Kansas,32787,1528,1561390475
Fayette,Kentucky,295803,738,550634161
Garrard,Kentucky,16912,606,104854723.8
Boyle,Kentucky,28432,472,248909461.7
Pendleton,Kentucky,14877,725,31475424.04
Nicholas,Kentucky,7135,507,63723795.28
Todd,Kentucky,12460,969,854347419.6
Trigg,Kentucky,14339,1244,614436714.1
Logan,Kentucky,26835,1438,1192069039
Edmonson,Kentucky,12161,797,153170260
Russell,Kentucky,17565,734,240399253.1
Simpson,Kentucky,17327,605,725456725
Allen,Kentucky,19956,907,180326196.6
Barren,Kentucky,42173,1295,653835685.9
Taylor,Kentucky,24512,716,222714383.7
Henry,Kentucky,15416,753,389920188.6
Jefferson,Kentucky,741096,1025,162841409.5
Carroll,Kentucky,10811,354,54561062.26
Shelby,Kentucky,42074,997,739551377.7
Metcalfe,Kentucky,10099,752,235546152.1
Adair,Kentucky,18656,1068,229789192.5
Mason,Kentucky,17490,636,169199411.1
Monroe,Kentucky,10963,856,143742838.3
Ballard,Kentucky,8249,709,693143589.5
Carlisle,Kentucky,5104,522,468342645.9
Fulton,Kentucky,6813,592,573848554.4
Hickman,Kentucky,4902,658,659982893.7
Calloway,Kentucky,37191,1060,1061094644
Marshall,Kentucky,31448,886,692805689.1
Livingston,Kentucky,9519,875,467557014.7
Crittenden,Kentucky,9315,965,385572542.7
Hopkins,Kentucky,46920,1435,1011924458
Lyon,Kentucky,8314,666,254819166
Webster,Kentucky,13621,869,817555356.7
Union,Kentucky,15007,932,955928695.6
Butler,Kentucky,12690,1119,332760102.8
West Baton Rouge,Louisiana,23788,523,300582424.1
Calhoun,Michigan,136146,1846,1592053136
Missaukee,Michigan,14849,1481,1094930824
Montcalm,Michigan,63342,1863,1806329087
Gladwin,Michigan,25692,1337,1137229489
Isabella,Michigan,70311,1497,1520768036
Jackson,Michigan,160248,1875,1466786176
Gratiot,Michigan,42476,1476,1704958838
Montmorency,Michigan,9765,1463,761199934.1
St. Joseph,Michigan,61295,1343,1323656954
Midland,Michigan,83629,1361,1200085450
Ogemaw,Michigan,21699,1485,1058820580
Shiawassee,Michigan,70648,1403,1587225205
Wayne,Michigan,1820584,1599,248250259.5
Alpena,Michigan,29598,1544,647645601.8
Chippewa,Michigan,38520,4127,2401376147
Eaton,Michigan,107759,1495,1533354484
Kalamazoo,Michigan,250331,1501,1101127868
Mecosta,Michigan,42798,1481,1135911721
Osceola,Michigan,23528,1488,1022473497
Wexford,Michigan,32735,1490,806113232.5
Ionia,Michigan,63905,1502,1515357960
Kalkaska,Michigan,17153,1475,1142563446
Lake,Michigan,11539,1487,1074143292
Clare,Michigan,30926,1485,1170924035
Crawford,Michigan,14074,1458,1159620117
Roscommon,Michigan,24449,1504,739945251.8
Clinton,Michigan,75382,1490,1691781942
Cass,Michigan,52293,1310,1175032914
Hillsdale,Michigan,46688,1566,1580147045
Branch,Michigan,45248,1339,1419099571
Oscoda,Michigan,8640,1489,1129345091
Saginaw,Michigan,200169,2114,2225045123
Otsego,Michigan,24164,1362,932162662.2
Rock,Minnesota,9687,1255,1573220235
Dodge,Minnesota,20087,1133,1555620467
Cook,Minnesota,5176,4192,1114043973
Isanti,Minnesota,37816,1169,1494430279
Carlton,Minnesota,35386,2273,2241500826
Fillmore,Minnesota,20866,2248,1448462044
Houston,Minnesota,19027,1482,223903696.6
Mower,Minnesota,39163,1841,2624777614
Benton,Minnesota,38451,1064,1393117775
Olmsted,Minnesota,144248,1690,1265846907
Chisago,Minnesota,53887,1149,1210310907
Pope,Minnesota,10995,1863,2033413378
Morrison,Minnesota,33198,2975,3402111601
Stearns,Minnesota,150642,3606,4138481637
Todd,Minnesota,24895,2542,2806693783
Crow Wing,Minnesota,62500,3005,2579610211
Itasca,Minnesota,45058,7592,7209662224
Rice,Minnesota,64142,1339,1233749502
Brown,Minnesota,25893,1592,2034600897
Nicollet,Minnesota,32727,1219,1407647185
Kandiyohi,Minnesota,42239,2228,2684831976
Meeker,Minnesota,23300,1674,2097091694
Hubbard,Minnesota,20428,2594,2548587473
Wadena,Minnesota,13843,1402,1618891934
Kanabec,Minnesota,16239,1385,1681207890
Martin,Minnesota,20840,1886,2607729340
Steele,Minnesota,36576,1111,1482342383
Jackson,Minnesota,10266,1855,2533742256
Cottonwood,Minnesota,11687,1672,2258656497
Waseca,Minnesota,19136,1125,1495636375
Faribault,Minnesota,14553,1859,2568855882
Freeborn,Minnesota,31255,1859,2452826592
McLeod,Minnesota,36651,1305,1785902631
Kittson,Minnesota,4552,2853,3779746188
Marshall,Minnesota,9439,4682,5842475107
Polk,Minnesota,31600,5171,6786302627
Norman,Minnesota,6852,2273,3124188345
Big Stone,Minnesota,5269,1367,1500595257
Lac qui Parle,Minnesota,7259,2017,2504648957
Becker,Minnesota,32504,3720,3598404480
Traverse,Minnesota,3558,1516,2065719491
Pennington,Minnesota,13930,1608,2103871084
Red Lake,Minnesota,4089,1122,1421647744
Mahnomen,Minnesota,5413,1529,1685250063
Grant,Minnesota,6018,1485,1775880182
Stevens,Minnesota,9726,1493,1969473056
Swift,Minnesota,9783,1939,2427666795
Douglas,Minnesota,36009,1861,1908335974
Nobles,Minnesota,21378,1869,2618493671
Lincoln,Minnesota,5896,1430,1627963233
Lyon,Minnesota,25857,1860,2448515123
Murray,Minnesota,8725,1852,2447965208
Pipestone,Minnesota,9596,1202,1615012970
Leflore,Mississippi,32317,1564,1729527732
Washington,Mississippi,51137,1965,2242346973
Sunflower,Mississippi,29450,1827,2311090282
Holmes,Mississippi,19198,1999,1457096826
Clay,Mississippi,20634,1073,989157499.8
Montgomery,Mississippi,10925,1056,636290775.6
Webster,Mississippi,10253,1088,840184632.2
Lee,Mississippi,82910,1178,1269204100
Lafayette,Mississippi,47351,1755,835285822.9
Quitman,Mississippi,8223,1048,1361852542
Oktibbeha,Mississippi,47671,1183,1100583742
Winston,Mississippi,19198,1603,1176253758
Calhoun,Mississippi,14962,1536,1229974796
Chickasaw,Mississippi,17392,1313,1549682609
Pontotoc,Mississippi,29957,1292,1319774743
Benton,Mississippi,8729,1056,566623961.9
Grenada,Mississippi,21906,1161,590493328.1
Panola,Mississippi,34707,1838,1780548324
Tippah,Mississippi,22232,1187,687590777.3
Union,Mississippi,27134,1074,909965031
Yalobusha,Mississippi,12678,1292,717000098.7
Alcorn,Mississippi,37057,1037,672602951.5
Itawamba,Mississippi,23401,1406,543902313.8
Prentiss,Mississippi,25276,1081,938646521.7
Tishomingo,Mississippi,19593,1158,445627257.6
Issaquena,Mississippi,1406,1144,873971173
Hancock,Mississippi,43929,1258,1013753129
Covington,Mississippi,19568,1067,940871818.3
Adams,Mississippi,32297,1268,343877705.2
Lawrence,Mississippi,12929,1146,726101270.1
Lincoln,Mississippi,34869,1513,1339012859
Pike,Mississippi,40404,1054,803603495.2
Walthall,Mississippi,15443,1046,951161078
George,Mississippi,22578,1269,642710922.5
Stone,Mississippi,17786,1156,999624645.5
Clarke,Mississippi,16732,1805,1366095294
Forrest,Mississippi,74934,1221,1040760901
Greene,Mississippi,14400,1854,1530885408
Jasper,Mississippi,17062,1776,1438241369
Jones,Mississippi,67761,1799,1872401720
Lauderdale,Mississippi,80261,1838,784595570.5
Newton,Mississippi,21720,1511,1261643700
Perry,Mississippi,12250,1687,1512929577
Wayne,Mississippi,20747,2103,1968618884
Lamar,Mississippi,55658,1291,826718170.4
Marion,Mississippi,27088,1427,965207373.5
Scott,Mississippi,28264,1589,1735931513
Smith,Mississippi,16491,1642,1324077346
Leake,Mississippi,23805,1502,1277088761
Kemper,Mississippi,10456,1986,1607644858
Neshoba,Mississippi,29676,1472,1198341692
Noxubee,Mississippi,11545,1851,1863868333
Pearl River,Mississippi,55834,2120,1556682090
Harrison,Mississippi,187105,1525,1214424587
Jackson,Mississippi,139668,1928,1196240486
Pemiscot,Missouri,18296,1311,1898308190
Andrew,Missouri,17291,1124,695184804.5
Buchanan,Missouri,89201,1075,481010822.2
Nodaway,Missouri,23370,2265,1437218135
Holt,Missouri,4912,1207,776461283.7
Atchison,Missouri,5685,1430,850267293
Cooper,Missouri,17601,1476,1013233628
DeKalb,Missouri,12892,1101,954145531.8
Gentry,Missouri,6738,1279,813837429.4
Staunton,Virginia,23746,51,1552832.32
Patrick,Virginia,18490,1259,9733259.96
Caldwell,Missouri,9424,1115,941882120.7
Lexington,Virginia,7042,8,127192.56
Daviess,Missouri,8433,1474,1295705497
Grundy,Missouri,10261,1128,1004498580
Falls Church,Virginia,12332,5,152933.92
Harrison,Missouri,8957,1879,1139758436
Mercer,Missouri,3785,1168,568566491.5
Sullivan,Missouri,6714,1696,851822441
Linn,Missouri,12761,1616,1407693674
Lewis,Missouri,10211,1317,1305509539
Monroe,Missouri,8840,1732,1863785659
Shelby,Missouri,6373,1305,1613221461
Adair,Missouri,25607,1457,928340154.4
Knox,Missouri,4131,1326,1435195661
Macon,Missouri,15566,2116,1791688109
Randolph,Missouri,25414,1271,1243927061
Scotland,Missouri,4843,1130,1085338543
Barry,Missouri,35597,2059,668605348
Cedar,Missouri,13982,1290,663529827.8
Dade,Missouri,7883,1323,975511451.5
Hickory,Missouri,9627,1064,405354798.9
Polk,Missouri,31137,1663,691242094.4
Dallas,Missouri,16777,1411,494599869.8
Wayne,Missouri,13521,2016,223538279.5
Pulaski,Missouri,52274,1440,95296256.18
Wright,Missouri,18815,1768,239403703
Howard,Missouri,10144,1212,735307573.6
Moniteau,Missouri,15607,1088,633342408
St. Louis City,Missouri,319294,170,5007138.46
Carter,Missouri,6265,1326,84871653.86
Crawford,Missouri,24696,1940,304684892.3
Iron,Missouri,10630,1427,98091141.86
Reynolds,Missouri,6696,2104,66985261.64
Ripley,Missouri,14100,1646,616390584.1
Bollinger,Missouri,12363,1599,448158624.1
Oregon,Missouri,10881,2054,272787572.4
Madison,Missouri,12226,1291,123557602.8
Bedford City,Virginia,6222,22,257413.54
McDonald,Missouri,23083,1399,299076922.1
Cape Girardeau,Missouri,75674,1521,998156646.6
New Madrid,Missouri,18956,1795,2514287696
Perry,Missouri,18971,1250,594488558.3
Golden Valley,Montana,884,3021,1985757914
